ID	GENE_SYMBOL
1522	DPCR1
1523	FAM114A1
1524	MIAT
1525	LOC100507472
1526	XLOC_011074
1528	XLOC_012031
1529	EFHC2
1530	AKR7L
1531	XLOC_010629
1532	PRSS41
1533	COX16
1535	PCDHGA8
1536	XLOC_009097
1538	LRRC57
1539	XLOC_l2_001875
1540	LOC100288092
1541	CDK8
1542	XLOC_006169
1543	RPS3A
1544	SEC24A
1545	XBP1
1546	PCDH1
1548	LGALS7
1550	XLOC_007911
1551	LRRC49
1554	EXOC8
1555	XLOC_000824
1556	XLOC_000041
1557	BRD3
1558	GRHL2
1559	XLOC_l2_013153
1560	FAM120A
1561	LOC100652774
1562	STYK1
1563	PIGC
1564	CDC42BPA
1566	ANKRD63
1567	XLOC_011252
1568	ADIPOQ
1569	SRRT
1570	LOC401320
1571	C17orf87
1572	TOE1
1573	TMEM18
1574	UQCRB
1575	AVL9
1576	DLGAP3
1577	WFDC6
1580	C3orf71
1581	LHCGR
1582	SPATA12
1583	XLOC_011682
1584	EGR4
1586	LETMD1
1587	ADAMTSL2
1589	MRPL18
1590	XLOC_000617
1591	SCAF1
1592	CAV1
1593	EMP1
1594	DMRT3
1595	HIST1H4H
1597	XLOC_003156
1598	XLOC_005195
1599	C1orf52
1600	XLOC_013917
1601	XLOC_008416
1602	HSH2D
1604	OR51G1
1605	ZNHIT6
1606	PRY2
1607	KLF2
1608	LOC100506120
1609	FCRL3
1610	LOC100506655
1611	XLOC_l2_006036
1612	CGREF1
1613	ARL6IP6
1614	SPARCL1
1615	XLOC_004881
1616	CEP250
1617	C19orf22
1618	LOC100506054
1620	XLOC_006433
1621	OGFOD1
1622	NUDT10
1624	XLOC_006721
1625	ACOT6
1626	C12orf76
1627	XLOC_009723
1628	XLOC_000357
1629	PPWD1
1630	LOC100505964
1631	PPP2R1B
1632	HOOK1
1633	XLOC_002128
1634	LOC348840
1635	FLJ43944
1637	XLOC_003269
1638	CRYBB1
1640	MUC1
1641	XLOC_001095
1642	Q2Z8W5
1643	LOC285556
1645	LOC389831
1646	BOLA2B
1647	AQP10
1648	SLC5A11
1649	CXCL12
1650	MSRA
1651	TECPR1
1652	RNF6
1655	APITD1
1656	XLOC_006765
1657	UBQLN2
1658	XLOC_l2_010448
1659	XLOC_013593
1660	XLOC_007585
1661	PLCD4
1662	XLOC_003264
1663	PHF20L1
1664	MAP7D3
1665	LOC440131
1666	KIAA0319
1667	LOC100653007
1669	FAM125B
1670	XLOC_011016
1671	XLOC_006844
1672	CCBL2
1673	XLOC_011380
1674	XLOC_008244
1675	P39194
1677	PRDM15
1678	CDK1
1679	TLR1
1680	ARF1
1681	XLOC_002244
1682	XLOC_003486
1683	XLOC_l2_003053
1684	TMEM64
1685	GJB5
1686	LCLAT1
1687	ST18
1688	XLOC_002264
1689	LOC100505894
1690	TRIM36
1691	XLOC_002289
1692	GTPBP4
1693	SBF1
1694	LINC00320
1695	XLOC_003365
1696	EPHA3
1697	SNORA18
1698	ATP2B4
1699	XLOC_l2_014048
1700	MTRF1
1702	ZNF385D
1704	ANKRD30A
1706	ALG9
1707	XLOC_006983
1708	LOC100130744
1709	C17orf51
1710	TFDP1
1711	XLOC_009628
1713	LOC100287482
1714	UTP11L
1716	TDRD7
1717	CTNS
1718	TWIST2
1719	BCAP29
1720	IFNE
1721	COX4NB
1722	PLXNA2
1723	ADAMTSL5
1724	LOC400550
1725	MYBPH
1727	DPP10
1728	HP
1729	HSPA9
1730	SMCR6
1731	XLOC_003560
